Date,Firm,To Grade,From Grade,Action,stock_symbol
2013-12-02 13:06:13,JP Morgan,Overweight,,main,FB
2013-12-17 16:00:00,Susquehanna,Positive,Neutral,up,FB
2013-12-23 09:25:40,Cantor Fitzgerald,Buy,,main,FB
2014-01-06 06:47:50,Morgan Stanley,Overweight,,main,FB
2014-01-06 06:56:35,SunTrust Robinson Humphrey,Buy,,main,FB
2014-01-10 07:02:53,Stifel Nicolaus,Buy,,main,FB
2014-01-13 08:39:36,JMP Securities,Market Outperform,,main,FB
2014-01-14 08:05:39,FBN Securities,Outperform,,init,FB
2014-01-15 07:31:36,Nomura,Buy,,init,FB
2014-01-16 08:00:00,Raymond James,Outperform,,main,FB
2014-01-21 16:00:00,Cowen & Co.,Outperform,,main,FB
2014-01-30 06:37:45,Credit Suisse,Neutral,,main,FB
2014-01-30 06:47:56,Morgan Stanley,Overweight,,main,FB
2014-01-30 07:00:22,Bank of America,Buy,,main,FB
2014-01-30 07:28:25,Stifel Nicolaus,Buy,,main,FB
2014-01-30 07:29:07,CRT Capital,Buy,,main,FB
2014-01-30 08:44:09,Nomura,Buy,,main,FB
2014-02-20 16:00:00,Evercore Partners,Equal-weight,Overweight,down,FB
2014-02-26 08:00:00,Cowen & Co.,Outperform,,main,FB
2014-03-05 07:09:42,Stifel,Buy,,main,FB
2014-03-10 08:00:00,UBS,Buy,,main,FB
2014-03-11 08:00:00,Citigroup,Buy,,reit,FB
2014-03-17 07:25:18,Argus Capital,Hold,,down,FB
2014-04-09 08:19:18,Susquehanna,Positive,,main,FB
2014-04-10 07:24:09,Pivotal Research,Buy,Hold,up,FB
2014-04-10 22:36:50,Deutsche Bank,Buy,,main,FB
2014-04-21 16:22:33,Credit Suisse,Outperform,Neutral,up,FB
2014-04-24 01:00:57,Canaccord Genuity,Buy,,main,FB
2014-04-24 01:37:28,CRT Capital,Buy,,main,FB
2014-04-24 01:40:01,Credit Suisse,Outperform,,main,FB
2014-04-24 02:43:18,Jefferies,Buy,,main,FB
2014-04-24 03:12:24,JMP Securities,Market Outperform,,main,FB
2014-04-24 06:47:26,Bank of America,Buy,,main,FB
2014-04-24 06:51:57,Stifel Nicolaus,Buy,,main,FB
2014-05-22 06:15:58,Evercore Partners,Overweight,Equal-weight,up,FB
2014-06-26 06:26:55,Barclays,Overweight,,init,FB
2014-07-09 10:03:08,Tigress Financial,Neutral,Buy,down,FB
2014-07-24 20:19:26,Barclays,Overweight,,main,FB
2014-07-24 20:19:28,Canaccord Genuity,Buy,,main,FB
2014-07-24 20:19:29,Credit Suisse,Outperform,,main,FB
2014-07-24 21:26:41,Deutsche Bank,Buy,,main,FB
2014-07-24 21:31:35,Jefferies,Buy,,main,FB
2014-07-24 21:31:37,JMP Securities,Market Outperform,,main,FB
2014-07-24 22:15:05,JP Morgan,Overweight,,main,FB
2014-07-24 22:15:08,Macquarie,Outperform,,main,FB
2014-07-24 22:37:35,Nomura,Buy,,main,FB
2014-07-24 22:37:37,Raymond James,Outperform,,main,FB
2014-07-24 23:31:50,UBS,Buy,,main,FB
2014-08-27 07:26:20,Janney Capital,Neutral,Buy,down,FB
2014-10-09 08:30:00,Nomura,Buy,,main,FB
2014-10-10 09:00:00,Susquehanna,Positive,,main,FB
2014-10-13 08:30:00,PiperJaffray,Market Outperform,,main,FB
2014-10-13 09:00:00,JMP Securities,Market Outperform,,main,FB
2014-10-14 16:00:00,Credit Suisse,Outperform,,main,FB
2014-10-20 08:00:00,Shanghai Securities,Buy,,init,FB
2014-10-27 08:30:00,"Monness, Crespi, Hardt",Buy,,init,FB
2014-10-28 08:53:27,Canaccord Genuity,Buy,,main,FB
2014-10-28 08:59:18,JMP Securities,Market Outperform,,main,FB
2014-10-28 09:42:05,Stifel Nicolaus,Buy,,main,FB
2014-10-29 09:00:00,Stifel Nicolaus,Buy,,main,FB
2014-10-29 11:42:25,FBN Securities,Outperform,,main,FB
2014-10-31 09:52:36,Tigress Financial,Buy,Neutral,up,FB
2014-11-03 07:43:54,Morgan Stanley,Overweight,,init,FB
2014-11-18 08:41:03,Hilliard Lyons,Long-term Buy,,init,FB
2014-12-05 00:00:00,MKM Partners,Buy,,init,FB
2014-12-19 09:00:00,Citigroup,Buy,,main,FB
2015-01-05 04:41:35,Bank of America,Buy,,main,FB
2015-01-22 13:56:58,Societe Generale,Sell,,init,FB
2015-01-29 09:00:00,Stifel Nicolaus,Buy,,main,FB
2015-03-02 07:14:30,Axiom Capital,Buy,,init,FB
2015-03-16 16:19:01,Brean Capital,Buy,,init,FB
2015-03-17 04:49:39,Nomura,Buy,,main,FB
2015-03-23 08:11:28,JMP Securities,Market Outperform,,main,FB
2015-03-23 09:00:00,JMP Securities,Market Outperform,,main,FB
2015-04-02 09:00:00,Citigroup,Buy,,main,FB
2015-04-21 09:27:47,Cleveland Research,Buy,,init,FB
2015-04-23 09:00:00,JP Morgan,Overweight,,main,FB
2015-06-04 04:35:50,Evercore ISI Group,Buy,,main,FB
2015-06-17 05:10:09,Brean Capital,Buy,,main,FB
2015-06-18 08:08:56,JMP Securities,Outperform,,main,FB
2015-06-26 05:55:43,Mizuho,Buy,,init,FB
2015-07-01 06:24:26,Cantor Fitzgerald,Buy,,main,FB
2015-07-13 08:41:02,Pivotal Research,Buy,,main,FB
2015-07-27 06:33:50,SunTrust Robinson Humphrey,Buy,,main,FB
2015-07-30 04:07:37,Credit Suisse,Outperform,,main,FB
2015-07-30 11:00:00,Stifel Nicolaus,Buy,,main,FB
2015-08-10 16:54:18,Susquehanna,Positive,,init,FB
2015-09-08 05:38:15,Moffett Nathanson,Buy,,init,FB
2015-10-09 04:34:45,Credit Suisse,Outperform,,main,FB
2015-10-30 07:43:35,Jyske Bank,Sell,Buy,down,FB
2015-11-05 05:16:17,Credit Suisse,Outperform,,main,FB
2015-11-05 05:36:34,Morgan Stanley,Overweight,,main,FB
2015-11-05 05:49:51,Barclays,Overweight,,main,FB
2015-11-05 06:16:45,FBR Capital,Outperform,,main,FB
2015-11-05 13:30:29,Macquarie,Outperform,,main,FB
2015-11-05 15:03:52,Stifel Nicolaus,Buy,,main,FB
2015-11-05 15:34:27,Deutsche Bank,Buy,,main,FB
2016-01-25 07:42:45,SunTrust Robinson Humphrey,Buy,,main,FB
2016-01-28 02:15:30,FBR Capital,Outperform,,main,FB
2016-01-28 02:15:32,Stifel Nicolaus,Buy,,main,FB
2016-01-28 02:36:43,JP Morgan,Overweight,,main,FB
2016-01-28 03:14:05,Jefferies,Buy,,main,FB
2016-01-28 08:44:54,Stifel Nicolaus,Buy,,main,FB
2016-01-28 09:10:34,Cowen & Co.,Outperform,,main,FB
2016-01-28 09:11:01,CLSA,Buy,,main,FB
2016-01-28 09:27:40,Nomura,Buy,,main,FB
2016-01-28 13:15:01,Deutsche Bank,Buy,,main,FB
2016-02-10 09:39:56,Jyske Bank,Strong Buy,,init,FB
2016-04-01 06:59:28,Citigroup,Buy,,main,FB
2016-04-04 06:22:48,Axiom Capital,Buy,,main,FB
2016-04-18 05:58:12,Credit Suisse,Outperform,,main,FB
2016-04-28 04:31:52,Axiom Capital,Buy,,main,FB
2016-04-28 04:32:32,JP Morgan,Overweight,,main,FB
2016-04-28 04:34:05,Barclays,Overweight,,main,FB
2016-04-28 04:36:28,Goldman Sachs,Buy,,main,FB
2016-04-28 04:38:17,Citigroup,Buy,,main,FB
2016-04-28 04:42:44,Credit Suisse,Outperform,,main,FB
2016-04-28 04:43:42,Jefferies,Buy,,main,FB
2016-04-28 04:43:52,Deutsche Bank,Buy,,main,FB
2016-04-28 04:44:02,Baird,Outperform,,main,FB
2016-04-28 04:44:13,JMP Securities,Market Outperform,,main,FB
2016-04-28 04:45:46,Nomura,Buy,,main,FB
2016-04-28 04:46:20,Cowen & Co.,Outperform,,main,FB
2016-04-28 04:46:44,Pivotal Research,Buy,,main,FB
2016-04-28 04:46:56,Mizuho,Buy,,main,FB
2016-04-28 04:48:02,Canaccord Genuity,Buy,,main,FB
2016-04-28 06:34:09,UBS,Buy,,main,FB
2016-04-28 06:39:06,SunTrust Robinson Humphrey,Buy,,main,FB
2016-04-28 08:06:07,Susquehanna,Positive,,main,FB
2016-04-28 08:07:13,Evercore ISI Group,Buy,,main,FB
2016-04-28 08:08:57,Oppenheimer,Outperform,,main,FB
2016-04-28 08:51:29,Stifel Nicolaus,Buy,,main,FB
2016-07-22 07:08:16,BTIG Research,Neutral,Buy,down,FB
2016-07-28 04:15:56,Credit Suisse,Outperform,,main,FB
2016-07-28 04:24:17,Goldman Sachs,Buy,,main,FB
2016-07-28 04:26:10,Morgan Stanley,Overweight,,main,FB
2016-07-28 04:27:05,RBC Capital,Outperform,,main,FB
2016-07-28 04:32:51,Wedbush,Outperform,,main,FB
2016-07-28 04:33:42,Axiom Capital,Buy,,main,FB
2016-07-28 06:09:48,UBS,Buy,,main,FB
2016-07-28 07:20:33,Deutsche Bank,Buy,,main,FB
2016-07-28 07:35:53,Monness Crespi Hardt,Neutral,Buy,down,FB
2016-07-28 07:39:49,CLSA,Buy,,main,FB
2016-07-28 07:43:50,BMO Capital,Market Perform,,main,FB
2016-07-28 07:44:55,Oppenheimer,Outperform,,main,FB
2016-07-28 08:05:09,Wells Fargo,Overweight,,main,FB
2016-07-28 10:46:52,William Blair,Outperform,,main,FB
2016-07-28 10:47:18,Citigroup,Buy,,main,FB
2016-07-28 11:39:22,Jefferies,Buy,,main,FB
2016-07-28 11:55:50,JMP Securities,Market Outperform,,main,FB
2016-07-28 11:59:45,Pacific Crest,Buy,,main,FB
2016-09-07 12:05:13,Morgan Stanley,Overweight,,main,FB
2016-09-19 03:22:57,Citigroup,Buy,,main,FB
2016-09-23 06:09:34,Loop Capital,Buy,,init,FB
2016-09-27 07:10:43,JP Morgan,Overweight,,main,FB
