Date,Firm,To Grade,From Grade,Action,stock_symbol
2020-01-31 15:45:43,Morgan Stanley,Overweight,,main,AMZN
2020-01-31 16:25:47,B of A Securities,Buy,,main,AMZN
2020-01-31 17:30:30,CFRA,Buy,,main,AMZN
2020-02-05 12:27:08,Citigroup,Buy,,main,AMZN
2020-02-13 15:47:00,Aegis Capital,Buy,,main,AMZN
2020-03-17 15:24:43,Wedbush,Outperform,,main,AMZN
2020-03-26 12:30:08,Deutsche Bank,Buy,,main,AMZN
2020-04-15 15:51:56,Baird,Outperform,,main,AMZN
2020-04-22 15:13:53,Wedbush,Outperform,,main,AMZN
2020-04-23 13:02:53,Goldman Sachs,Buy,,main,AMZN
2020-04-24 16:47:00,Stifel,Buy,,main,AMZN
2020-04-27 12:26:25,Oppenheimer,Outperform,,main,AMZN
2020-04-27 13:04:49,Credit Suisse,Outperform,,main,AMZN
2020-04-27 15:06:03,SunTrust Robinson Humphrey,Buy,,main,AMZN
2020-04-30 13:31:05,Citigroup,Buy,,main,AMZN
2020-05-01 10:05:54,KeyBanc,Overweight,,main,AMZN
2020-05-01 10:50:43,RBC Capital,Outperform,,main,AMZN
2020-05-01 10:52:35,Mizuho,Buy,,main,AMZN
2020-05-01 10:54:24,Pivotal Research,Buy,,main,AMZN
2020-05-01 11:27:55,Morgan Stanley,Overweight,,main,AMZN
2020-05-01 11:39:13,Raymond James,Outperform,,main,AMZN
2020-05-01 11:51:01,Susquehanna,Positive,,main,AMZN
2020-05-01 12:07:24,Credit Suisse,Outperform,,main,AMZN
2020-05-01 12:09:37,B of A Securities,Buy,,reit,AMZN
2020-05-01 13:02:45,MKM Partners,Buy,,main,AMZN
2020-05-01 13:09:58,UBS,Buy,,main,AMZN
2020-05-01 14:41:21,BMO Capital,Outperform,,main,AMZN
2020-05-01 14:43:59,Benchmark,Buy,,main,AMZN
2020-05-01 14:47:55,Guggenheim,Buy,,main,AMZN
2020-05-01 14:51:09,Canaccord Genuity,Buy,,main,AMZN
2020-05-01 15:51:09,JMP Securities,Market Outperform,,main,AMZN
2020-05-01 16:56:26,SunTrust Robinson Humphrey,Buy,,main,AMZN
2020-06-01 12:07:53,Morgan Stanley,Overweight,,main,AMZN
2020-06-08 13:01:34,RBC Capital,Outperform,,main,AMZN
2020-06-08 13:14:45,Baird,Outperform,,main,AMZN
2020-06-17 09:18:13,Needham,Buy,,init,AMZN
2020-06-26 13:25:53,SunTrust Robinson Humphrey,Buy,,main,AMZN
2020-06-26 13:27:37,Deutsche Bank,Buy,,main,AMZN
2020-06-30 13:29:59,Mizuho,Buy,,main,AMZN
2020-07-07 12:29:20,Baird,Outperform,,main,AMZN
2020-07-13 10:47:01,Mizuho,Buy,,main,AMZN
2020-07-20 12:35:47,MKM Partners,Buy,,main,AMZN
2020-07-24 08:43:27,KeyBanc,Overweight,,main,AMZN
2020-07-24 12:35:51,Credit Suisse,Outperform,,main,AMZN
2020-07-27 14:24:28,B of A Securities,Buy,,main,AMZN
2020-07-30 16:51:52,BMO Capital,Outperform,,main,AMZN
2020-07-31 08:43:04,KeyBanc,Overweight,,main,AMZN
2020-07-31 10:59:40,Needham,Buy,,main,AMZN
2020-07-31 11:41:56,Raymond James,Outperform,,main,AMZN
2020-07-31 11:46:26,Morgan Stanley,Overweight,,main,AMZN
2020-07-31 12:48:42,Credit Suisse,Outperform,,main,AMZN
2020-07-31 13:43:10,Canaccord Genuity,Buy,,main,AMZN
2020-09-22 10:51:01,Bernstein,Outperform,Market Perform,up,AMZN
2020-10-01 13:01:42,Pivotal Research,Buy,,main,AMZN
2020-10-07 10:53:59,Benchmark,Buy,,main,AMZN
2020-10-09 16:11:58,Mizuho,Buy,,main,AMZN
2020-10-15 11:33:00,Morgan Stanley,Overweight,,main,AMZN
2020-10-16 12:15:33,Morgan Stanley,Overweight,,main,AMZN
2020-10-27 12:40:35,Credit Suisse,Outperform,,main,AMZN
2020-10-27 16:53:36,Deutsche Bank,Buy,,main,AMZN
2020-10-30 12:31:05,Credit Suisse,Outperform,,main,AMZN
2020-10-30 16:53:12,Piper Sandler,Overweight,,main,AMZN
2020-10-30 17:12:40,Benchmark,Buy,,main,AMZN
2020-11-03 16:15:15,Citigroup,Buy,,main,AMZN
2020-11-04 11:58:33,China Renaissance,Buy,Hold,up,AMZN
2012-04-24 07:05:00,Canaccord Genuity,Sell,,main,NFLX
2012-04-24 07:22:00,Goldman Sachs,Neutral,,main,NFLX
2012-04-24 10:14:00,Dougherty,Neutral,,main,NFLX
2012-05-31 06:33:00,Bank oferica,Underperform,,main,NFLX
2012-07-25 05:32:00,PiperJaffray,Neutral,Overweight,down,NFLX
2012-07-25 05:59:00,JP Morgan,Neutral,,main,NFLX
2012-07-25 06:54:00,SunTrust Robinson Humphrey,Neutral,Buy,down,NFLX
2012-07-25 07:25:00,Oppenheimer,Outperform,,main,NFLX
2012-07-25 07:57:00,Citigroup,Buy,,main,NFLX
2012-07-25 12:28:00,Barclays,Equal-Weight,,main,NFLX
2012-08-14 13:58:00,Bank of America,Buy,Underperform,up,NFLX
2012-08-21 07:59:00,Caris & Co.,Average,Below Average,up,NFLX
2012-09-05 12:17:00,Barclays,Equal-Weight,,main,NFLX
2012-09-21 06:23:00,Cantor Fitzgerald,Buy,,init,NFLX
2012-10-08 05:55:00,Morgan Stanley,Overweight,Equal-Weight,up,NFLX
2012-10-09 05:55:00,Bank of America,Underperform,Buy,down,NFLX
2012-10-24 07:26:00,Jefferies,Hold,,main,NFLX
2012-10-24 07:54:00,BMO Capital,Market Perform,,main,NFLX
2012-10-24 12:30:00,Barclays,Equal-Weight,,main,NFLX
2012-11-01 05:56:00,Oppenheimer,Perform,Outperform,down,NFLX
2012-11-16 08:07:00,Albert Fried,Underperform,,init,NFLX
2012-12-06 09:12:30,Caris & Co.,Below Average,Average,down,NFLX
2012-12-12 15:27:39,Morgan Stanley,Overweight,,main,NFLX
2013-01-03 08:22:42,BMO Capital,Market Perform,,main,NFLX
2013-01-09 10:07:42,Bank of America,Underperform,,main,NFLX
2013-01-18 08:12:50,Albert Fried & Co.,Underweight,,init,NFLX
2013-01-18 08:21:17,Janney Capital,Buy,Neutral,up,NFLX
2013-01-22 09:27:34,National Alliance Securities,Market Perform,,init,NFLX
2013-01-24 06:29:29,JP Morgan,Overweight,Neutral,up,NFLX
2013-01-24 07:13:24,Credit Suisse,Neutral,Outperform,down,NFLX
2013-01-24 07:44:58,BMO Capital,Market Perform,,main,NFLX
2013-01-24 08:25:14,Lazard,Buy,Neutral,up,NFLX
2013-01-24 08:26:38,Macquarie,Neutral,Underperform,up,NFLX
2013-01-24 08:29:33,Goldman Sachs,Neutral,,main,NFLX
2013-01-24 09:19:16,Oppenheimer,Perform,,main,NFLX
2013-01-24 09:24:55,Wedbush,Underperform,,main,NFLX
2013-01-24 10:31:45,Bank of America,Underperform,,main,NFLX
2013-02-01 09:09:58,Morgan Stanley,Overweight,,main,NFLX
2013-02-05 08:24:24,BMO Capital,Market Perform,,main,NFLX
2013-02-13 08:41:44,JP Morgan,Overweight,,main,NFLX
2013-03-04 14:01:23,RBC Capital,Outperform,,init,NFLX
2013-03-05 08:25:51,RBC Capital,Outperform,,init,NFLX
2013-03-26 08:34:04,Pacific Crest,Outperform,,main,NFLX
2013-04-05 09:43:39,Cantor Fitzgerald,Buy,,main,NFLX
2013-04-09 16:18:49,PiperJaffray,Neutral,,main,NFLX
2013-04-10 07:48:48,Evercore Partners,Underweight,,init,NFLX
2013-04-11 07:51:51,Goldman Sachs,Neutral,,main,NFLX
2013-04-15 08:37:59,BTIG Research,Buy,,init,NFLX
2013-04-16 14:08:35,MKM Partners,Buy,,init,NFLX
2013-04-19 10:11:03,National Alliance,,Market Perform,up,NFLX
2013-04-23 07:40:41,Barclays,Equal-Weight,,main,NFLX
2013-04-23 07:41:22,PiperJaffray,Neutral,,main,NFLX
2013-04-23 07:41:48,Oppenheimer,Market Perform,,main,NFLX
2013-04-23 07:42:13,Evercore Partners,Underweight,,main,NFLX
2013-04-23 07:42:46,Wedbush,Underperform,,main,NFLX
2013-04-23 07:43:00,Janney Capital,Buy,,main,NFLX
2013-04-23 07:43:29,JP Morgan,Overweight,,main,NFLX
2013-04-23 08:26:47,BMO Capital,Market Perform,,main,NFLX
2013-04-23 09:42:19,National Alliance,Buy,Accumulate,up,NFLX
2013-04-23 14:19:58,Jefferies,Underperform,Hold,down,NFLX
2013-05-17 07:41:54,Macquarie,Neutral,,main,NFLX
2013-06-25 07:24:12,Bernstein,Underperform,Market Perform,down,NFLX
2013-07-09 18:08:48,Citigroup,Neutral,,init,NFLX
2013-07-19 06:42:45,Northland Securities,Market Perform,Underperform,up,NFLX
2013-07-23 08:13:52,Pacific Crest,Sector Perform,Outperform,down,NFLX
2013-07-23 09:29:14,Cantor Fitzgerald,Hold,Buy,down,NFLX
2013-07-23 10:23:04,Credit Suisse,Neutral,Neutral,main,NFLX
2013-09-05 08:07:03,RBC Capital,Outperform,,main,NFLX
2013-09-11 11:36:13,BTIG Research,Neutral,Buy,down,NFLX
2013-09-12 06:21:50,Morgan Stanley,Equal-Weight,Overweight,down,NFLX
2013-09-19 07:00:00,CRT Capital,Fair Value,,init,NFLX
2013-10-01 07:33:59,MKM Partners,Buy,,main,NFLX
2013-10-10 06:41:55,Needham,Buy,,init,NFLX
2013-10-14 08:50:58,JP Morgan,Overweight,,main,NFLX
2013-10-16 07:58:51,Hudson Square,Hold,Buy,down,NFLX
2013-10-22 07:17:03,Wedbush,Underperform,,main,NFLX
2013-10-22 07:30:32,Jefferies,Underperform,,main,NFLX
2013-10-22 07:50:02,JP Morgan,Overweight,,main,NFLX
2013-10-22 08:00:00,Evercore Partners,Equal-weight,Underweight,up,NFLX
2013-10-22 12:05:15,Janney Capital,Buy,,main,NFLX
2013-10-25 08:25:22,FBR Capital,Market Perform,,init,NFLX
2013-11-01 06:57:17,Baird,Outperform,,up,NFLX
2013-12-11 07:27:30,Citigroup,Neutral,,main,NFLX
2014-01-07 06:34:40,Morgan Stanley,Underweight,Equal-weight,down,NFLX
2014-01-14 08:06:19,FBN Securities,Outperform,,init,NFLX
2014-01-15 07:32:28,Nomura,Neutral,,init,NFLX
2014-01-22 08:00:00,CRT Capital,Buy,Fair Value,up,NFLX
2014-01-23 06:38:31,Credit Suisse,Neutral,,main,NFLX
2014-01-23 07:38:23,Nomura,Neutral,,main,NFLX
2014-01-23 16:00:00,S&P Capital IQ,Hold,Sell,up,NFLX
2014-01-31 08:00:00,Morgan Stanley,Equal-weight,Underweight,up,NFLX
2014-02-06 07:00:00,Stifel Nicolaus,Buy,Hold,up,NFLX
2014-02-07 07:27:17,Stifel,Buy,Hold,up,NFLX
2014-02-24 08:00:00,Needham,Buy,,main,NFLX
2014-03-11 09:14:35,CRT Capital,Buy,,main,NFLX
2014-04-07 07:22:47,Oppenheimer,Outperform,Perform,up,NFLX
2014-04-10 09:42:56,Hudson Square,Buy,Hold,up,NFLX
2014-04-17 07:14:06,Pacific Crest,Outperform,Sector Perform,up,NFLX
2014-04-22 00:08:50,FBR Capital,Market Perform,,main,NFLX
2014-04-22 00:22:14,Jefferies,Underweight,,main,NFLX
2014-04-22 01:39:35,Pacific Crest,Outperform,,main,NFLX
2014-04-22 07:19:42,Credit Suisse,Neutral,,main,NFLX
2014-04-22 07:20:20,Wedbush,Underperform,,main,NFLX
2014-04-22 07:40:43,Raymond James,Outperform,Market Perform,up,NFLX
2014-04-22 08:00:00,Cantor Fitzgerald,Buy,Hold,up,NFLX
2014-04-22 22:39:11,BMO Capital,Market Perform,,main,NFLX
2014-05-20 06:18:00,Topeka,Buy,,init,NFLX
2014-06-02 20:46:47,Oppenheimer,Outperform,,main,NFLX
2014-06-10 06:39:02,Evercore Partners,Overweight,Equal-weight,up,NFLX
2014-06-26 06:26:57,Barclays,Underweight,,init,NFLX
2014-07-01 06:24:29,Goldman Sachs,Buy,Neutral,up,NFLX
2014-07-22 20:01:34,Citigroup,Neutral,,main,NFLX
2014-07-22 20:01:35,Credit Suisse,Neutral,,main,NFLX
2014-07-22 20:01:37,FBR Capital,Market Perform,,main,NFLX
2014-07-22 20:44:23,Jefferies,Underperform,,main,NFLX
2014-07-22 20:44:25,JP Morgan,Overweight,,main,NFLX
2014-07-22 21:28:01,Nomura,Neutral,,main,NFLX
2014-09-10 06:15:43,Canaccord Genuity,Buy,,init,NFLX
2014-09-10 06:58:08,SunTrust Robinson Humphrey,Neutral,,init,NFLX
2014-09-12 05:44:36,Barclays,Equal-weight,Underperform,up,NFLX
2014-10-09 08:30:00,Nomura,Buy,,main,NFLX
2014-10-14 16:00:00,BTIG Research,Buy,Neutral,up,NFLX
2014-10-16 05:40:31,Janney Capital,Buy,,main,NFLX
2014-10-16 05:40:56,Goldman Sachs,Buy,,main,NFLX
2014-10-16 05:41:18,BMO Capital,Market Perform,,main,NFLX
2014-10-16 08:30:00,Stifel Nicolaus,Buy,,main,NFLX
2014-10-16 09:00:00,Topeka,Buy,,main,NFLX
2014-10-16 16:00:00,Jefferies,Hold,Underperform,up,NFLX
2014-11-25 00:00:00,Stifel Nicolaus,Hold,Buy,down,NFLX
2014-12-08 00:00:00,UBS,Neutral,,init,NFLX
2015-01-14 00:00:00,Stifel,Buy,Hold,up,NFLX
2015-01-16 05:32:27,Cowen & Co.,Outperform,Market Perform,up,NFLX
2015-01-21 04:42:38,Morgan Stanley,Overweight,,main,NFLX
2015-01-21 06:06:26,Nomura,Buy,Neutral,up,NFLX
2015-01-21 07:11:30,Stifel Nicolaus,Buy,,main,NFLX
2015-01-21 09:00:00,CRT Capital,Fair Value,,main,NFLX
2015-01-22 05:05:28,Pivotal Research,Buy,,init,NFLX
2015-01-22 13:57:58,Societe Generale,Buy,,init,NFLX
2015-01-30 09:00:00,Stifel Nicolaus,Buy,,main,NFLX
2015-02-10 09:00:00,JP Morgan,Overweight,,main,NFLX
2015-02-13 05:23:24,Janney Capital,Buy,,main,NFLX
2015-03-16 05:07:18,Evercore ISI Group,Sell,Hold,down,NFLX
2015-03-24 05:02:51,Barclays,Equal-Weight,,main,NFLX
2015-03-24 09:00:00,Cantor Fitzgerald,Buy,,main,NFLX
2015-04-09 09:00:00,BMO Capital,Market Perform,,main,NFLX
2015-04-10 06:15:59,Citigroup,Buy,Neutral,up,NFLX
2015-04-13 05:39:12,UBS,Buy,Neutral,up,NFLX
2015-04-14 04:52:00,Credit Suisse,Neutral,,main,NFLX
2015-04-14 04:53:14,PiperJaffray,Neutral,,main,NFLX
2015-04-14 09:00:00,SunTrust Robinson Humphrey,Neutral,,main,NFLX
2015-04-16 05:56:50,Pivotal Research,Buy,,main,NFLX
2015-04-16 06:43:45,FBR Capital,Outperform,Market Perform,up,NFLX
2015-04-16 09:00:00,Stifel Nicolaus,Buy,,main,NFLX
2015-04-27 09:00:00,Stifel Nicolaus,Buy,,main,NFLX
2015-05-05 06:40:22,Bank of America,Buy,Neutral,up,NFLX
2015-06-08 09:25:26,Topeka,Buy,,main,NFLX
2015-06-10 07:36:14,UBS,Buy,,main,NFLX
2015-06-16 06:38:37,Needham,Buy,,main,NFLX
2015-06-19 07:37:06,Oppenheimer,Outperform,,main,NFLX
2015-06-22 07:36:56,BTIG Research,Buy,,main,NFLX
2015-06-24 12:32:48,Societe Generale,Sell,Buy,down,NFLX
2015-06-25 06:52:17,Citigroup,Neutral,Buy,down,NFLX
2015-06-26 05:57:17,Mizuho,Neutral,,init,NFLX
2015-07-09 04:01:12,Nomura,Buy,,main,NFLX
2015-07-10 07:53:19,Morgan Stanley,Overweight,,main,NFLX
2015-07-13 09:24:57,Goldman Sachs,Buy,,main,NFLX
2015-07-16 07:09:02,SunTrust Robinson Humphrey,Neutral,,main,NFLX
2015-07-16 08:01:19,Rosenblatt,Buy,Neutral,up,NFLX
2015-07-16 11:00:00,Barclays,Equal-Weight,,main,NFLX
2015-07-16 12:08:40,RBC Capital,Outperform,,main,NFLX
2015-08-03 16:08:00,Guggenheim,Buy,,init,NFLX
2015-08-10 07:33:26,Stifel Nicolaus,Buy,,main,NFLX
2015-08-26 07:12:57,RBC Capital,Outperform,,main,NFLX
2015-09-01 08:16:13,Bank of America,Buy,,main,NFLX
2015-10-08 17:09:24,BMO Capital,Market Perform,,init,NFLX
2015-10-15 06:42:54,JP Morgan,Overweight,,main,NFLX
2015-10-15 06:46:57,Credit Suisse,Neutral,,main,NFLX
2015-10-15 08:08:53,FBR Capital,Outperform,,main,NFLX
2016-01-04 04:12:56,Baird,Neutral,Outperform,down,NFLX
2016-01-14 07:02:18,Drexel Hamilton,Buy,,init,NFLX
2016-01-14 13:27:18,SunTrust Robinson Humphrey,Neutral,,main,NFLX
2016-01-20 06:56:54,JP Morgan,Overweight,,main,NFLX
2016-01-20 07:50:07,Oppenheimer,Outperform,,main,NFLX
2016-01-20 11:31:13,Jefferies,Hold,,main,NFLX
2016-02-02 06:25:47,PiperJaffray,Overweight,,up,NFLX
2016-02-05 09:24:13,Moffett Nathanson,Neutral,,main,NFLX
2016-02-12 07:21:32,FBR Capital,Market Perform,Outperform,down,NFLX
2016-04-01 06:18:25,Atlantic Equities,Overweight,Neutral,up,NFLX
2016-04-01 06:40:02,Citigroup,Neutral,,main,NFLX
2016-04-07 12:46:11,JP Morgan,Overweight,,main,NFLX
2016-04-18 07:19:04,Credit Suisse,Neutral,,main,NFLX
2016-04-19 00:01:00,Morgan Stanley,Overweight,,main,NFLX
2016-04-19 03:55:19,Goldman Sachs,Buy,,main,NFLX
2016-04-19 04:09:59,JP Morgan,Overweight,,main,NFLX
2016-04-19 04:10:00,Credit Suisse,Neutral,,main,NFLX
2016-04-19 04:44:12,Citigroup,Neutral,,main,NFLX
2016-04-19 07:37:09,Baird,Neutral,,main,NFLX
2016-04-19 07:37:21,Cowen & Co.,Outperform,,main,NFLX
2016-04-19 07:37:41,Mizuho,Neutral,,main,NFLX
2016-04-19 07:37:57,Pacific Crest,Overweight,,main,NFLX
2016-04-19 07:38:14,Nomura,Buy,,main,NFLX
2016-04-19 07:38:29,Pivotal Research,Buy,,main,NFLX
2016-04-19 09:10:31,Mizuho,Neutral,,main,NFLX
2016-07-01 07:27:15,Canaccord Genuity,Buy,,init,NFLX
2016-07-05 08:23:01,Needham,Hold,Buy,down,NFLX
2016-07-06 07:20:16,Jefferies,Underperform,Hold,down,NFLX
2016-07-14 12:56:40,SunTrust Robinson Humphrey,Neutral,,main,NFLX
2016-07-19 05:20:00,JP Morgan,Overweight,,main,NFLX
2016-07-19 05:20:24,Goldman Sachs,Buy,,main,NFLX
2016-07-19 05:20:54,Credit Suisse,Neutral,,main,NFLX
2016-07-19 06:06:34,Citigroup,Neutral,,main,NFLX
2016-07-19 06:12:52,Wedbush,Underperform,,main,NFLX
2016-07-19 06:21:57,BMO Capital,Perform,,main,NFLX
2016-07-19 06:22:25,Cowen & Co.,Outperform,,main,NFLX
2016-07-19 07:12:30,Morgan Stanley,Overweight,,main,NFLX
2016-07-19 07:15:26,RBC Capital,Outperform,,main,NFLX
2016-07-19 07:16:44,Pacific Crest,Overweight,,main,NFLX
2016-07-19 07:17:54,Nomura,Buy,,main,NFLX
2016-07-19 07:27:23,Bernstein,Underperform,,main,NFLX
2016-07-19 07:29:14,Oppenheimer,Outperform,,main,NFLX
2016-07-19 07:30:03,Jefferies,Underperform,,main,NFLX
2016-07-19 07:30:36,Cantor Fitzgerald,Buy,,main,NFLX
2016-07-19 07:53:00,BMO Capital,Market Perform,,main,NFLX
2016-07-19 08:09:41,SunTrust Robinson Humphrey,Neutral,,main,NFLX
2016-07-19 08:57:57,PiperJaffray,Overweight,,main,NFLX
2016-07-19 08:59:40,Macquarie,Neutral,,main,NFLX
2016-07-19 09:02:32,BTIG Research,Buy,,main,NFLX
2016-07-19 09:49:11,UBS,Neutral,Buy,down,NFLX
2016-08-24 23:01:55,William Blair,Market Outperform,Market Perform,up,NFLX
2016-08-29 07:30:25,Axiom Capital,Sell,,init,NFLX
2016-09-13 05:52:40,Macquarie,Underperform,Neutral,down,NFLX
2016-10-04 20:59:00,Loop Capital,Buy,,init,NFLX
2016-10-05 08:32:11,Loop Capital,Buy,,init,NFLX
2016-10-10 11:42:09,Deutsche Bank,Sell,,init,NFLX
2016-10-18 09:33:18,Morgan Stanley,Overweight,,main,NFLX
2016-10-18 09:33:19,Loop Capital,Buy,,main,NFLX
2016-10-18 10:09:52,UBS,Neutral,,main,NFLX
2016-10-18 10:21:38,Wedbush,Underperform,,main,NFLX
2016-10-18 11:46:45,Baird,Neutral,,main,NFLX
2016-10-18 11:48:00,Deutsche Bank,Sell,,main,NFLX
2016-10-18 12:05:52,Citigroup,Neutral,,main,NFLX
2016-10-18 12:07:23,Credit Suisse,Neutral,,main,NFLX
2016-10-18 12:08:22,SunTrust Robinson Humphrey,Hold,,main,NFLX
2016-10-18 12:48:18,Nomura,Buy,,main,NFLX
2016-11-10 12:58:07,Loop Capital,Buy,,main,NFLX
2016-11-21 11:12:10,Brean Capital,Buy,,init,NFLX
2016-12-06 17:49:00,Evercore ISI Group,Hold,Sell,up,NFLX
2017-01-12 11:12:51,Morgan Stanley,Overweight,Overweight,main,NFLX
2017-01-13 15:19:52,Deutsche Bank,Hold,Sell,up,NFLX
2017-01-17 15:18:51,Mizuho,Buy,Neutral,up,NFLX
2017-01-19 12:57:38,Loop Capital,Buy,Buy,main,NFLX
2017-01-19 13:11:34,Macquarie,Neutral,Underperform,up,NFLX
2017-03-06 12:30:10,UBS,Buy,Neutral,up,NFLX
2017-03-15 13:33:07,Jefferies,Hold,Underperform,up,NFLX
2017-03-17 15:24:46,Bernstein,Outperform,,init,NFLX
2017-03-20 10:53:25,Deutsche Bank,Hold,,main,NFLX
2017-04-04 16:20:08,Rosenblatt,Neutral,,init,NFLX
2017-04-18 13:32:37,Cantor Fitzgerald,Overweight,Overweight,main,NFLX
2017-05-25 12:42:08,PiperJaffray,Overweight,Overweight,main,NFLX
2017-07-17 14:45:09,Nomura,Buy,,main,NFLX
2017-07-18 12:16:25,Rosenblatt,Buy,Neutral,up,NFLX
2017-07-18 13:30:53,Credit Suisse,Neutral,,main,NFLX
2017-09-21 17:00:41,Buckingham,Buy,,init,NFLX
2017-09-27 11:49:56,Wells Fargo,Outperform,,init,NFLX
2017-10-04 16:35:35,UBS,Buy,,main,NFLX
2017-10-09 12:56:43,Loop Capital,Buy,,main,NFLX
2017-10-12 13:01:56,Stifel Nicolaus,Buy,,main,NFLX
2017-10-13 13:52:39,Citigroup,Neutral,,main,NFLX
2017-10-16 14:32:20,Aegis Capital,Hold,,init,NFLX
2017-10-17 11:07:22,Stifel Nicolaus,Buy,,main,NFLX
2017-10-17 11:16:02,UBS,Buy,,main,NFLX
2017-10-17 11:40:17,Loop Capital,Buy,,main,NFLX
2017-10-17 15:54:28,Buckingham,Buy,,main,NFLX
2017-10-17 16:35:45,BMO Capital,Market Perform,,main,NFLX
2017-10-17 16:38:01,Credit Suisse,Neutral,,main,NFLX
2017-10-17 16:42:26,Citigroup,Neutral,,main,NFLX
2017-10-17 19:36:33,Baird,Neutral,,main,NFLX
2017-10-26 15:18:11,Loop Capital,Buy,,main,NFLX
2017-12-04 14:13:59,Monness Crespi Hardt,Buy,,init,NFLX
2017-12-06 14:07:56,Evercore ISI Group,In-Line,,init,NFLX
2018-01-02 12:09:31,Macquarie,Outperform,Neutral,up,NFLX
2018-01-11 18:56:09,Barclays,Overweight,,init,NFLX
2018-01-24 14:46:02,Baird,Neutral,Neutral,main,NFLX
2018-03-07 12:09:46,Stifel Nicolaus,Hold,Buy,down,NFLX
2018-03-16 17:11:01,Loop Capital,Buy,,init,NFLX
2018-03-28 12:27:17,Citigroup,Neutral,Neutral,main,NFLX
2018-04-10 14:40:15,Morgan Stanley,Overweight,Overweight,main,NFLX
2018-04-10 15:28:42,Raymond James,Outperform,Outperform,main,NFLX
2018-04-11 13:43:33,JP Morgan,Overweight,Overweight,main,NFLX
2018-04-13 10:32:35,Deutsche Bank,Buy,Hold,up,NFLX
2018-04-13 18:59:41,Buckingham,Neutral,Neutral,main,NFLX
2018-04-17 10:55:39,Stifel Nicolaus,Hold,Hold,main,NFLX
2018-04-17 11:22:59,KeyBanc,Overweight,Overweight,main,NFLX
2018-04-17 12:26:13,Wedbush,Underperform,Underperform,main,NFLX
2018-04-17 12:33:18,Baird,Neutral,Neutral,main,NFLX
2018-04-17 12:37:09,Buckingham,Neutral,Neutral,main,NFLX
2018-04-17 12:52:48,Morgan Stanley,Overweight,Overweight,main,NFLX
2018-04-17 13:06:41,Credit Suisse,Neutral,Neutral,main,NFLX
2018-04-17 13:18:23,BMO Capital,Market Perform,Market Perform,main,NFLX
2018-04-17 13:51:58,Canaccord Genuity,Buy,Buy,main,NFLX
2018-04-17 14:30:32,Bank of America,Buy,Buy,main,NFLX
2018-05-05 13:32:15,Argus,Hold,,init,NFLX
2018-05-05 14:00:37,B. Riley FBR,Neutral,Sell,up,NFLX
2018-05-05 14:00:39,B. Riley FBR,Neutral,Neutral,main,NFLX
2018-06-20 09:53:22,Monness Crespi Hardt,Buy,Buy,main,NFLX
2018-06-26 10:07:48,Imperial Capital,Outperform,,init,NFLX
2018-06-27 12:38:35,Bank of America,Buy,Buy,main,NFLX
2018-07-09 12:16:41,Barclays,Overweight,Overweight,main,NFLX
2018-07-11 11:49:44,Nomura,Neutral,,init,NFLX
2018-07-11 14:13:15,Credit Suisse,Outperform,,init,NFLX
2018-07-12 10:16:43,UBS,Neutral,Buy,down,NFLX
2018-07-12 12:58:46,Morgan Stanley,Overweight,Overweight,main,NFLX
2018-07-13 16:00:12,SunTrust Robinson Humphrey,Hold,Hold,main,NFLX
2018-07-16 12:03:47,Buckingham,Underperform,Neutral,down,NFLX
2018-07-17 10:19:53,KeyBanc,Overweight,Overweight,main,NFLX
2018-07-17 10:33:51,BMO Capital,Outperform,Market Perform,up,NFLX
2018-07-17 11:24:13,Stifel Nicolaus,Buy,Hold,up,NFLX
2018-07-17 11:31:57,Credit Suisse,Outperform,Outperform,main,NFLX
2018-07-17 11:33:37,Canaccord Genuity,Buy,Buy,main,NFLX
2018-07-17 11:57:21,Macquarie,Outperform,Outperform,main,NFLX
2018-07-17 12:12:36,Cowen & Co.,Outperform,Outperform,main,NFLX
2018-07-17 12:19:52,Buckingham,Underperform,Underperform,main,NFLX
2018-07-17 12:25:16,Deutsche Bank,Hold,Buy,down,NFLX
2018-07-17 12:48:20,Raymond James,Outperform,Outperform,main,NFLX
2018-07-17 15:00:01,Wells Fargo,Outperform,Outperform,main,NFLX
2018-07-17 15:10:12,Bank of America,Buy,Buy,main,NFLX
2018-07-17 16:57:23,Barclays,Overweight,Overweight,main,NFLX
2018-08-24 10:58:39,SunTrust Robinson Humphrey,Buy,Hold,up,NFLX
2018-09-06 13:27:14,RBC Capital,Outperform,Outperform,main,NFLX
2018-10-12 10:59:23,Stifel Nicolaus,Buy,Buy,main,NFLX
2018-10-12 11:58:05,Citigroup,Buy,Neutral,up,NFLX
2018-10-15 13:24:06,Goldman Sachs,Buy,Buy,main,NFLX
2018-10-17 09:36:12,KeyBanc,Sector Weight,Overweight,down,NFLX
2018-10-17 11:45:14,Canaccord Genuity,Buy,Buy,main,NFLX
2018-10-17 11:53:04,BMO Capital,Outperform,Outperform,main,NFLX
2018-10-17 12:02:54,Citigroup,Buy,Buy,main,NFLX
2018-10-17 12:38:49,Buckingham,Underperform,Underperform,main,NFLX
2018-10-17 12:53:15,Imperial Capital,Outperform,Outperform,main,NFLX
2018-10-17 13:01:52,Raymond James,Outperform,Outperform,main,NFLX
2018-11-05 13:52:03,Buckingham,Buy,Underperform,up,NFLX
2019-01-07 14:54:55,Barclays,Overweight,Overweight,main,NFLX
